,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rab40b,0.0353667513129107,10.8176467450323,0.056,0,1
Trim5,0.0353667513129107,9.91218719261178,0.056,0,1
1600020E01Rik,0.0353691026392815,0.248137978035508,0.089,0.184,1
Larp4,0.0354757829256024,0.238992523715006,0.115,0.224,1
Sh3d19,0.0355630208038935,-0.316711177208984,0.049,0.118,1
Map1s,0.035563812768693,-0.201849419839165,0.026,0.079,1
Cwf19l1,0.0356306561959806,-0.836410350091899,0.013,0.053,1
Dgkq,0.0356306561959806,0.520341267316952,0.013,0.053,1
Hs1bp3,0.0356306561959806,-0.454230818395298,0.013,0.053,1
Plxna4os1,0.0356306561959806,-0.372552062366596,0.013,0.053,1
Ybey,0.0356306561959806,-0.360331727806384,0.013,0.053,1
Eya3,0.0356306561959806,-0.237390791463921,0.013,0.053,1
Zdhhc1,0.0356426295408675,0.418736700543688,0.128,0.25,1
Upf3b,0.0356827113342383,0.252028827369446,0.138,0.263,1
Laptm5,0.0356856626202498,-0.703508214206148,0.02,0.066,1
Ptpn13,0.0356856626202498,-0.591518709714354,0.02,0.066,1
Kcnq4,0.0356856626202498,-0.405851684335962,0.02,0.066,1
Actr1b,0.0357888254112043,0.267790935127254,0.211,0.382,1
Ikbkb,0.0359355512668564,0.483427548303477,0.201,0.368,1
Uhrf1,0.0360404278710204,-0.649361281181704,0.02,0.066,1
Nle1,0.0360404278710204,-0.594655636345399,0.02,0.066,1
Nptx1,0.0360684691694805,5.14570708806056,0.079,0.013,1
Ddn,0.0360685242029763,5.05893567637954,0.079,0.013,1
Kpna4,0.0360791687673756,0.534555823903392,0.224,0.408,1
Dtx2,0.0361954995574403,-0.458754143187754,0.026,0.079,1
Pdlim1,0.0361954995574403,0.341119780393781,0.026,0.079,1
Rnf31,0.0361954995574403,0.328160334943692,0.026,0.079,1
Zmat5,0.0362131628515802,0.479292936834563,0.174,0.329,1
Gnai3,0.0362135906511474,0.376040850783685,0.224,0.408,1
Zfp628,0.0363981957067135,-0.743786316142097,0.02,0.066,1
Slc2a3,0.0363981957067135,-0.577505706159849,0.02,0.066,1
Tcf7l1,0.0363981957067135,-0.517543951239709,0.02,0.066,1
Nat10,0.0363981957067135,-0.353389891992449,0.02,0.066,1
Spata24,0.0363981957067135,-0.350494394776614,0.02,0.066,1
Ift122,0.0363981957067135,-0.349117012856996,0.02,0.066,1
Pcyox1l,0.0363981957067135,-0.312992480067375,0.02,0.066,1
Enho,0.0363981957067135,-0.2095894969451,0.02,0.066,1
Serf2,0.0365166977954438,0.264192718345015,0.993,0.987,1
Phyhip,0.036553160497996,4.08980801706091,0.079,0.013,1
Htt,0.0365621879119801,0.325364573303254,0.056,0.132,1
Pacs1,0.0365633411475267,0.287785640636829,0.072,0.158,1
Sft2d2,0.0367531349833427,0.370978747988887,0.122,0.237,1
Zfp1,0.0367589857091756,-0.394421820700194,0.02,0.066,1
9130023H24Rik,0.0367589857091756,-0.232037699198803,0.02,0.066,1
D10Wsu102e,0.0367589857091756,-0.211627585112689,0.02,0.066,1
Sirt5,0.0368367256256143,0.20507748574855,0.026,0.079,1
Dnajb11,0.0368824225781807,0.230144261166902,0.286,0.513,1
B4galt1,0.0370445227220207,-0.329634539814474,0.049,0.118,1
Ptk7,0.037190535029008,-0.96218635183258,0.069,0.145,1
Dgkz,0.037221174010139,0.258874975731744,0.178,0.329,1
Clasp1,0.0374836934164716,0.51699875367248,0.128,0.25,1
Eral1,0.0374897108780005,0.428940468048424,0.02,0.066,1
Cgrrf1,0.0376140677473415,-0.362348573674421,0.118,0.224,1
Zfp318,0.0376343322640724,0.254252594943106,0.072,0.158,1
Tmem237,0.0378362191002801,0.293465961412869,0.105,0.211,1
Zfp36l2,0.0378868627256356,0.369750560766441,0.164,0.303,1
Ptgfrn,0.0379583734677596,0.514277624655056,0.234,0.434,1
1500009C09Rik,0.038047759239748,-0.338318085583769,0.043,0.105,1
Ube2e1,0.0383880030422399,0.346685181299834,0.283,0.513,1
Spata13,0.0384605036289591,0.596794340074983,0.095,0.197,1
Mpst,0.0384853429633353,0.921605125671173,0.056,0.132,1
Fubp3,0.0386790134149255,0.435080738693456,0.164,0.303,1
Gna12,0.0390368374996143,0.386030259026504,0.115,0.224,1
Ttc23,0.0390700042639223,-0.529511277171416,0.059,0.132,1
Rnf149,0.0391398602435952,0.228673562788173,0.155,0.289,1
