,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rpl36,3.42374566452717e-08,0.541857037758698,0.985,0.938,0.000665713107010663
Gng5,3.61596925491578e-08,-0.597382227672714,0.715,0.931,0.000703089061925825
Rps2,4.01785903144666e-08,0.694968468372057,0.869,0.855,0.000781232510074489
Ldha,4.61654138074475e-08,-0.999360590658686,0.262,0.595,0.000897640306072008
Igfbp7,4.98921581936075e-08,-0.766538311158532,0.7,0.898,0.000970103123916504
Clic1,5.19404862457887e-08,-0.984599151547519,0.285,0.622,0.00100993081456311
Rnf121,5.61208237075657e-08,-3.0233091545431,0.031,0.257,0.00109121329616991
Anxa2,7.30403245020344e-08,-1.34889261489231,0.131,0.424,0.00142019606961756
Cd34,8.76368594481224e-08,-0.812460492269949,0.431,0.757,0.00170401109510929
Slc3a2,9.01968560515222e-08,-1.13882852716953,0.269,0.582,0.0017537876690658
Rbbp7,1.18785904360987e-07,-1.62012697626559,0.085,0.349,0.00230967312439503
Yif1b,1.20881987639643e-07,-2.09098710670096,0.046,0.283,0.00235042936766522
Eif2s2,1.21173510152449e-07,-1.20163285671752,0.192,0.507,0.00235609773140422
Rplp0,1.37613761872321e-07,-0.62272441501511,0.754,0.941,0.00267576198584541
Ptprr,1.43354268735126e-07,1.93861063121033,0.362,0.164,0.0027873804012858
AU021092,1.5577881226831e-07,-1.37705841106139,0.154,0.451,0.00302896322574501
Nrep,1.65384351467282e-07,-1.32341172166212,0.192,0.503,0.00321573332992984
Lamc1,1.67314298919486e-07,-1.15666175358202,0.169,0.47,0.00325325922819049
Gpi1,1.75342965085942e-07,-1.11040978608527,0.146,0.454,0.00340936861313106
Rps23,1.77812637056098e-07,0.516057195781855,0.985,0.944,0.00345738891491878
Mrpl36,1.88935300641204e-07,-1.98919846529464,0.054,0.289,0.00367365798566757
Pkm,1.92556154719901e-07,-0.840886128589238,0.408,0.743,0.00374406187237375
Fkbp1a,1.95949010003622e-07,-0.825700932639991,0.531,0.829,0.00381003255051042
Mrpl34,2.10124053879409e-07,-1.82359563703606,0.046,0.28,0.00408565210363123
Cdkn2b,2.37111103320685e-07,-3.33687271785325,0.023,0.227,0.0046103882929674
Higd1a,2.57732614331434e-07,-0.801694260105208,0.254,0.602,0.0050113529530604
Mfsd2a,2.61757658094843e-07,-1.22522586297495,0.154,0.447,0.00508961590399613
Psmb2,2.65830620392538e-07,-0.992045814179964,0.254,0.592,0.00516881058291251
Fcgrt,2.67806620376578e-07,-0.759280985805418,0.362,0.694,0.00520723192660218
Uqcrb,2.79496347584848e-07,-0.653556847350174,0.631,0.888,0.00543452698243979
mt-Nd4l,2.84396325957436e-07,1.06113535689113,0.677,0.586,0.00552980216191638
Erh,2.88380438171738e-07,-0.980709920334785,0.308,0.648,0.00560726923981128
Ost4,2.90525764782247e-07,-0.90114791879644,0.331,0.694,0.00564898297042602
Tpm3-rs7,3.34239548196947e-07,-4.06004248418332,0.008,0.194,0.00649895377514143
2010107E04Rik,3.5816178957144e-07,-0.841103695856155,0.346,0.674,0.00696409783642707
Ctla2a,3.59913326490177e-07,-0.834378733025581,0.469,0.714,0.00699815472027501
Hspa8,3.92284111954509e-07,-0.721614829350486,0.562,0.852,0.00762757227284348
Alad,4.04435407353319e-07,-1.54059923930655,0.085,0.336,0.00786384206057793
Scp2,4.12460836386245e-07,-0.932229686891136,0.285,0.609,0.00801988850269414
Dok4,4.25783190543721e-07,-1.72744309986183,0.085,0.329,0.00827892835693211
Rps25,4.78661772859798e-07,0.484750426447256,0.977,0.97,0.0093070995114859
Tmem59,5.29998512872866e-07,-0.8225134024018,0.392,0.724,0.0103052910843
Lurap1l,5.97465086103043e-07,-2.51735962752489,0.023,0.22,0.0116171111341876
Arpc1b,6.01530030218598e-07,-0.727038532087292,0.431,0.737,0.0116961499075704
Glo1,6.04650396910851e-07,-1.04443600366396,0.254,0.572,0.0117568223175346
Gm10260,6.15907232631201e-07,0.841202148662212,0.715,0.572,0.0119757002312811
Psma1,6.44106735221983e-07,-1.52302578876341,0.085,0.329,0.0125240113596562
Cuta,6.73954756804358e-07,-1.18310214001393,0.138,0.418,0.0131043762913039
Anxa3,7.30014445383486e-07,-0.889125846473724,0.277,0.602,0.0141944008760365
Esam,7.6291976891075e-07,-0.708255517392629,0.415,0.734,0.0148342119867006
Tmsb4x,8.55560270014412e-07,-0.4628187488335,1,1,0.0166355138901602
Rer1,8.82467400935878e-07,-1.29565422389233,0.123,0.385,0.0171586961437972
Tmed9,9.57467921120302e-07,-0.930139131809224,0.223,0.53,0.0186170062582632
Uba52,9.68859331290436e-07,0.87004172569854,0.746,0.681,0.0188385008376112
Cav2,1.04589348281694e-06,-0.820505069226684,0.3,0.628,0.0203363528798926
Sox4,1.08296025436511e-06,-1.51233729643032,0.131,0.385,0.0210570791858752
H1f0,1.12208301531362e-06,-0.990324169456029,0.185,0.484,0.021817782149758
Alas1,1.14873063481709e-06,-1.4464960912637,0.085,0.326,0.0223359184633834
Gm10709,1.16109862650552e-06,0.777267621216513,0.746,0.549,0.0225764016937733
Tubb4b,1.20154931903617e-06,-1.59024904539257,0.062,0.286,0.0233629249593392
Ostc,1.24212017472402e-06,-1.15756700214365,0.146,0.421,0.0241517846773338
Tmsb10,1.27866709431166e-06,-0.580485960992739,0.862,0.97,0.0248624029817959
Icam2,1.30270507990987e-06,-1.00037370304897,0.146,0.414,0.0253297975737675
Atp6v1e1,1.3031713136189e-06,-0.982318601512535,0.131,0.398,0.0253388630220058
Slc7a5,1.30938525338412e-06,-0.670740160831368,0.585,0.819,0.0254596868668008
Hmgcs2,1.53036881376355e-06,-1.24707562800054,0.138,0.401,0.0297564912148184
Gsr,1.57800558003881e-06,-1.61944810660838,0.069,0.293,0.0306827404982745
Rexo2,1.67474883072951e-06,-1.24105762734267,0.115,0.365,0.0325638162647045
Prdx1,1.7029597727254e-06,-0.643562059770895,0.577,0.836,0.0331123498208727
Stk25,1.70794127325014e-06,-2.08261840084841,0.031,0.224,0.0332092101170757
Tmed3,1.74269105155024e-06,-1.91072664505541,0.046,0.25,0.0338848848063428
Srgn,1.75507040131163e-06,-1.10851694525672,0.223,0.513,0.0341255888831034
Glmp,1.87764928830921e-06,-1.50391591996187,0.085,0.316,0.0365090127618842
Cd320,1.94218354193802e-06,-1.24149496727944,0.092,0.332,0.0377638167894428
Ppib,2.16098937842236e-06,-0.635191125957611,0.254,0.569,0.0420182774740444
Rps15a,2.16314084443992e-06,0.508438311023918,0.892,0.947,0.0420601105792898
Morf4l2,2.21563272465813e-06,-1.02451730296034,0.185,0.47,0.0430807626982528
Tpm4,2.29263076110984e-06,-0.639911881427444,0.569,0.816,0.0445779125190197
Dynll1,2.51918991514123e-06,-0.468571994028151,0.785,0.941,0.0489831287100061
Ywhae,2.5680022025653e-06,-0.710600233939726,0.631,0.849,0.0499322348266796
Ssu72,2.60285782587359e-06,-1.00844952773746,0.115,0.375,0.0506099675662861
Mff,2.66940885838408e-06,-1.03842899790069,0.2,0.5,0.05190398584242
Lrrn3,2.73337696806263e-06,-2.6833247219777,0.023,0.201,0.0531477817670098
Vwa1,2.78288271871365e-06,-0.794286719660024,0.438,0.747,0.0541103715826682
Usmg5,2.93058201320994e-06,-0.595322229926406,0.338,0.691,0.056982236664854
Psmd6,2.98695085508246e-06,-2.04738220122305,0.031,0.217,0.0580782724262233
Tbx1,3.05032116389924e-06,-3.02425979367342,0.023,0.197,0.0593104447108569
Cd200,3.11167368917808e-06,-0.950176391336829,0.2,0.477,0.0605033832123786
Fkbp2,3.22922016425074e-06,-1.16629518408402,0.108,0.352,0.0627889568736915
Cct7,3.23572360825153e-06,-1.17850725138684,0.123,0.368,0.0629154098388427
Tpi1,3.27636691685009e-06,-0.637138590243114,0.169,0.454,0.0637056783312333
Rnaseh2c,3.28057269043211e-06,-1.407226882784,0.085,0.312,0.0637874553927619
Ufm1,3.29954583408146e-06,-1.3892084242655,0.062,0.273,0.0641563691978799
Fam101b,3.50139287057539e-06,-0.892651498744253,0.308,0.589,0.0680810829754679
Prdx3,3.5910926998262e-06,-1.67633043130485,0.054,0.257,0.0698252064554207
Dab2,3.59167168510457e-06,-1.07681296507978,0.131,0.382,0.0698364642451732
Ndufc2,3.82985998733676e-06,-0.677577799728615,0.2,0.484,0.074467797593776
Tpgs1,4.02997305599865e-06,-2.0900481144934,0.038,0.227,0.0783587961008378
Arf6,4.11337888147953e-06,-0.836232513622683,0.331,0.651,0.0799805389714879
Immp1l,4.3459923468746e-06,-0.970961644861153,0.131,0.388,0.0845034751926298
Slc16a1,4.58902483115386e-06,-0.761859797848741,0.631,0.829,0.0892289988169556
Naa20,4.59032888724758e-06,-1.64464452060192,0.062,0.266,0.0892543548836419
Hsbp1,4.60099251170518e-06,-0.733250487600843,0.292,0.612,0.0894616983975956
Eif3e,4.61863430566225e-06,-0.881327774390527,0.315,0.622,0.0898047254392968
Hist1h2al,5.08826994349654e-06,-12.3322287644257,0,0.145,0.0989363207813467
Ly6c1,5.11996411527914e-06,-0.641559420658288,0.846,0.895,0.0995525822574877
Tmem44,5.48186857805182e-06,-0.962549970491215,0.077,0.299,0.10658945263164
Pnpla2,5.66935327375333e-06,-1.95430603534261,0.054,0.247,0.11023490505486
Tor1a,5.73191930475622e-06,-2.65565367984856,0.015,0.178,0.11145143896168
Swap70,5.79975942233915e-06,-1.34522169343034,0.085,0.303,0.112770522207962
Eva1b,5.96467490791986e-06,-0.858679886476637,0.3,0.609,0.115977138909594
Cldn5,6.15091670927191e-06,-0.445233026806171,0.908,0.964,0.119598424495083
Atp5c1,6.70462871242607e-06,-0.742164545662214,0.315,0.622,0.130364800684413
Commd4,6.76416268128881e-06,-2.46499380282282,0.023,0.191,0.13152237917498
Rpl13,6.77086560140219e-06,0.358329090502179,0.977,0.98,0.131652710753664
H2afj,6.90215293552257e-06,-0.712801374542703,0.238,0.536,0.134205461678301
Cd40,7.17146807105204e-06,-2.25306700861078,0.023,0.191,0.139442025173536
Car4,7.53106587106456e-06,-0.760769085620298,0.569,0.786,0.146434044796979
0610012G03Rik,7.64813758738486e-06,-0.814710278454092,0.185,0.464,0.148710387249111
Mdh2,7.71909300346096e-06,-0.772969939712756,0.185,0.457,0.150090044359295
Lama4,7.74921157152452e-06,-1.42098852547552,0.069,0.273,0.150675669796723
Stab1,7.89103436462944e-06,-2.53492298552888,0.023,0.188,0.153433272185855
Ctsb,7.91556038905531e-06,-1.27920569205893,0.085,0.299,0.153910156204791
Ctnnbip1,8.02562192464323e-06,-0.699424102369924,0.285,0.592,0.156050192702763
Cops6,8.17483951457696e-06,-0.757076706154888,0.162,0.431,0.158951579521434
Ywhaq,8.31204125731772e-06,-0.5111039796277,0.538,0.845,0.161619330207286
Psmd8,8.46014786745373e-06,-0.89701207586165,0.138,0.398,0.16449911513477
Xpnpep1,8.65007630858366e-06,-4.31720356419979,0.008,0.155,0.168192083744101
Efna1,9.00856206014082e-06,-1.53829101397685,0.046,0.234,0.175162480697378
Cd93,9.06009534471956e-06,-0.98297066007976,0.323,0.599,0.176164493882727
Polr2g,9.43637788968247e-06,-1.00254637145253,0.1,0.326,0.183480931686986
Cstb,9.55848296465539e-06,-0.747437870527347,0.269,0.559,0.185855142764759
H2afz,9.62558724561246e-06,-0.591598285329951,0.5,0.783,0.187159918403689
Tmem50a,1.07931943858698e-05,-0.81048204217139,0.231,0.516,0.209862871638853
Sox2,1.12023100573256e-05,5.55817307235096,0.085,0.007,0.217817716754638
Fgfbp1,1.14852363958854e-05,-13.3872351891727,0,0.135,0.223318936481595
Ppp1ca,1.15523461093218e-05,-0.774120974066456,0.4,0.691,0.224623817749653
Wdr26,1.16242953831525e-05,-0.87843662972445,0.154,0.411,0.226022799430018
Rbp1,1.16301831098756e-05,-3.0876579580581,0.015,0.168,0.226137280388422
Ctsh,1.17975388049892e-05,-0.747075991132847,0.285,0.576,0.22939134452421
Hnrnph2,1.19940987675439e-05,-0.956464174482536,0.138,0.385,0.233213256436124
Sdcbp,1.21885328948914e-05,-0.704259036616946,0.446,0.747,0.236993833608269
Tmem243,1.26967301394304e-05,1.24583680608745,0.454,0.319,0.246875220831085
Eif5a,1.29708407029011e-05,-0.611500452429031,0.369,0.684,0.252205026627208
