,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Perp,0.456800838706822,1.31886305241883,0.105,0.061,1
Bcs1l,0.456800838706822,1.15257319385498,0.105,0.061,1
Cenpq,0.456800838706822,-1.15218674373952,0.079,0.121,1
Dusp19,0.456800838706822,-1.07000039359483,0.079,0.121,1
Kdm4b,0.456800838706822,1.0552286486465,0.105,0.061,1
Arl15,0.456800838706822,0.957485544414251,0.105,0.061,1
Fosl2,0.456800838706822,0.933152887138096,0.105,0.061,1
Ica1,0.456863416324645,-0.684068034487504,0.105,0.152,1
Dnajc13,0.457370440987049,-0.606367739284972,0.158,0.212,1
Ddc,0.457434069335357,0.706229142122585,0.145,0.091,1
Tnk2,0.457525500622528,0.270118556865677,0.276,0.212,1
Rapgef3,0.457745928586576,0.984987739922086,0.211,0.152,1
Stk10,0.45776178626591,2.60457064079283,0.066,0.03,1
Arvcf,0.45776178626591,2.08065723286699,0.066,0.03,1
Napb,0.45776178626591,2.04205540122267,0.066,0.03,1
Exd2,0.45776178626591,1.8875625606962,0.066,0.03,1
Pcdhb16,0.45776178626591,1.86629029351094,0.066,0.03,1
Crls1,0.45776178626591,1.86142756580093,0.066,0.03,1
Mipol1,0.45776178626591,1.85975566062329,0.066,0.03,1
Tgfbr3,0.45776178626591,1.82411164174465,0.066,0.03,1
Tmem175,0.45776178626591,1.7876259797942,0.066,0.03,1
Zw10,0.45776178626591,1.77925686388883,0.066,0.03,1
Sult1a1,0.45776178626591,1.77609776751587,0.066,0.03,1
Rcor2,0.45776178626591,1.76795082301299,0.066,0.03,1
Rnf217,0.45776178626591,1.75807185273147,0.066,0.03,1
Trpm4,0.45776178626591,1.73058335328375,0.066,0.03,1
S100a10,0.45776178626591,1.6828475152482,0.066,0.03,1
Dlg5,0.45776178626591,1.60961778470688,0.066,0.03,1
Mon1a,0.45776178626591,1.58991179759056,0.066,0.03,1
Pdss2,0.45776178626591,1.49692334788097,0.066,0.03,1
Otud1,0.45776178626591,1.44449234409,0.066,0.03,1
Dsn1,0.45776178626591,1.39755767008224,0.066,0.03,1
Frem2,0.45776178626591,1.3231459614673,0.066,0.03,1
Lca5,0.45776178626591,1.31220962424967,0.066,0.03,1
Alcam,0.45776178626591,1.25627113734981,0.066,0.03,1
Szt2,0.45776178626591,1.21858314879931,0.066,0.03,1
Atl2,0.457955637743855,-0.572702901267098,0.289,0.333,1
Sqstm1,0.458278825956971,0.73032161021418,0.289,0.242,1
Pten,0.458457658969366,0.602735562750097,0.395,0.364,1
Tbc1d12,0.458531941790853,0.708433279104165,0.237,0.182,1
Cirbp,0.458610659600453,0.362887841089628,0.684,0.667,1
Csde1,0.459411464282499,0.308484436199773,0.697,0.788,1
Rrm1,0.459627580406121,0.628563810612063,0.184,0.121,1
Mapk3,0.459768658587144,0.260438464804642,0.579,0.545,1
Ndufs1,0.460010153514853,-0.315830765604698,0.211,0.273,1
Cdca4,0.46024106412644,-0.354768884107005,0.184,0.242,1
Acadvl,0.4604162842704,-0.397354411953765,0.276,0.364,1
Wbscr22,0.460582607051855,-0.512734192043322,0.25,0.303,1
Tbc1d1,0.460652479482629,-0.428181836486568,0.171,0.242,1
Apobec3,0.460974918929125,-1.05403358405838,0.053,0.091,1
Homer1,0.460974918929125,-0.938350329975345,0.053,0.091,1
Stxbp6,0.460974918929125,-0.885956191220188,0.053,0.091,1
Slc35e4,0.460974918929125,-0.877252161729817,0.053,0.091,1
Nme5,0.460974918929125,-0.860734594037947,0.053,0.091,1
Pcgf1,0.460974918929125,-0.713128183389916,0.053,0.091,1
Sart3,0.460974918929125,-0.635127370931816,0.053,0.091,1
Pgm3,0.460974918929125,-0.425482763776029,0.053,0.091,1
Bub1b,0.460974918929125,-0.212274114067352,0.053,0.091,1
Lpl,0.460974918929125,-0.20673319572007,0.053,0.091,1
Plat,0.461055358836144,-0.43316883881483,0.421,0.485,1
Chmp7,0.461431532141156,0.359735033986424,0.421,0.333,1
Zgpat,0.462759025039765,0.501411407347763,0.092,0.152,1
Kansl1l,0.462992063245935,-0.791817094086525,0.132,0.182,1
Tprkb,0.462992063245935,-0.679918794913369,0.132,0.182,1
Thap11,0.463373417789142,0.521233181831654,0.289,0.242,1
Ckap4,0.463569321660554,0.857261436350314,0.211,0.152,1
Hyou1,0.463569321660554,0.827086430605992,0.211,0.152,1
Hmgxb4,0.463569321660554,0.429583679651715,0.211,0.152,1
Gm26735,0.463982605000867,-0.682741235119194,0.105,0.152,1
Tcf12,0.464162395903045,0.375080322663377,0.579,0.455,1
Gm20342,0.464330982375928,0.586642860606356,0.145,0.091,1
Cd55,0.464330982375928,0.54099980917093,0.145,0.091,1
2510039O18Rik,0.464330982375928,0.415208383583271,0.145,0.091,1
Ube2c,0.464705650351624,-2.17626067184634,0.145,0.182,1
B9d2,0.464705650351624,1.05905823928188,0.171,0.121,1
Zbtb4,0.464705650351624,0.762586305079335,0.171,0.121,1
Usp15,0.464806838758719,1.3697981354713,0.105,0.061,1
Ncdn,0.464806838758719,1.10766653799012,0.105,0.061,1
Sox5,0.464806838758719,-1.08371842851143,0.079,0.121,1
Ikbkg,0.464806838758719,1.02485405230017,0.105,0.061,1
Endog,0.464806838758719,-0.986165052577629,0.079,0.121,1
Nanos1,0.464806838758719,0.68262281676353,0.105,0.061,1
Map2k6,0.464806838758719,-0.560339162088231,0.079,0.121,1
Pmm2,0.46515385858588,0.968211649729706,0.224,0.182,1
Zfp865,0.465842158979709,0.458367650007766,0.184,0.121,1
Ctsf,0.465842158979709,-0.266573527583851,0.145,0.212,1
Dync1li2,0.465917331949546,0.554762374588485,0.303,0.242,1
Nubp2,0.465975387318886,0.445898168107695,0.224,0.152,1
Sypl,0.46610976901212,0.319027595311472,0.684,0.636,1
Arpc4,0.466783217624961,0.26959345899891,0.776,0.697,1
Trmt1,0.467298572621696,0.531070398010787,0.329,0.273,1
Sccpdh,0.467405980558938,0.722503826705653,0.263,0.212,1
Dnajc2,0.467842416313028,0.225346153853689,0.316,0.273,1
Tmem51os1,0.467930001914785,1.95708679002476,0.066,0.03,1
Sp2,0.467930001914785,1.91879478321825,0.066,0.03,1
Dhx35,0.467930001914785,1.45735132557316,0.066,0.03,1
Pkdcc,0.467930001914785,1.40488147236407,0.066,0.03,1
Pomt1,0.467930001914785,1.35522358117626,0.066,0.03,1
Pcdhb19,0.467930001914785,1.25381468954448,0.066,0.03,1
Nudt22,0.467930001914785,1.15488091704274,0.066,0.03,1
Rffl,0.467930001914785,1.15420712336234,0.066,0.03,1
Tnpo2,0.467930001914785,1.13524784218492,0.066,0.03,1
Prss27,0.467930001914785,1.08666174924564,0.066,0.03,1
Cyp39a1,0.467930001914785,1.08341212549756,0.066,0.03,1
Tsen2,0.467930001914785,1.067926450578,0.066,0.03,1
Larp1b,0.467930001914785,0.812396380858034,0.066,0.03,1
Hif1a,0.468818720413392,0.264898845243434,0.434,0.333,1
Txndc5,0.469049430785225,-0.530409555094619,0.303,0.364,1
Gtf3c6,0.469049430785225,-0.37719613946915,0.303,0.364,1
Nicn1,0.469548035469007,-0.452261788215242,0.132,0.182,1
Asah1,0.469633319397681,0.832827536134002,0.237,0.182,1
Spidr,0.470465682354957,-1.04711743102525,0.053,0.091,1
Gm10561,0.470465682354957,-0.609539377580394,0.053,0.091,1
Prkg1,0.470465682354957,-0.582163557683939,0.053,0.091,1
Mtm1,0.470465682354957,-0.529984008237096,0.053,0.091,1
Dcxr,0.470465682354957,-0.484462521521751,0.053,0.091,1
